"","НазваПС","substance","lat","lon","valueType","value"
"30","канал Дніпро-Донбас, 109 км, м. Перещепино, міст, Перещепинський водозабір","ПерманганатнаОкислюваністьМгОДм3",49.029874,35.378052,"mean",9.26935483870968
"31","канал Дніпро-Донбас, 109 км, м. Перещепино, міст, Перещепинський водозабір","СульфатІониМгДм3",49.029874,35.378052,"mean",106.13064516129
"32","канал Дніпро-Донбас, 109 км, м. Перещепино, міст, Перещепинський водозабір","ФосфатІониМгДм3",49.029874,35.378052,"mean",0.1885
"33","канал Дніпро-Донбас, 109 км, м. Перещепино, міст, Перещепинський водозабір","ХлоридІониМгДм3",49.029874,35.378052,"mean",45.5951612903226
"34","канал Дніпро-Донбас, 170 км, с.Орілька, Орільське водосховище, шлюзовий попуск","АмонійІониМгДм3",48.980169,36.034678,"mean",0.360537190082645
"35","канал Дніпро-Донбас, 170 км, с.Орілька, Орільське водосховище, шлюзовий попуск","БСК5МгОДм3",48.980169,36.034678,"mean",2.40743801652893
"36","канал Дніпро-Донбас, 170 км, с.Орілька, Орільське водосховище, шлюзовий попуск","ЗависліРечовиниМгДм3",48.980169,36.034678,"mean",8.21925619834711
"37","канал Дніпро-Донбас, 170 км, с.Орілька, Орільське водосховище, шлюзовий попуск","КисеньРозчиненийМгО2Дм3",48.980169,36.034678,"mean",9.97049586776859
"38","канал Дніпро-Донбас, 170 км, с.Орілька, Орільське водосховище, шлюзовий попуск","НітратІониМгДм3",48.980169,36.034678,"mean",1.04568595041322
"39","канал Дніпро-Донбас, 170 км, с.Орілька, Орільське водосховище, шлюзовий попуск","НітритІониМгДм3",48.980169,36.034678,"mean",0.0318925619834711
"40","канал Дніпро-Донбас, 170 км, с.Орілька, Орільське водосховище, шлюзовий попуск","ПерманганатнаОкислюваністьМгОДм3",48.980169,36.034678,"mean",9.45454545454546
"41","канал Дніпро-Донбас, 170 км, с.Орілька, Орільське водосховище, шлюзовий попуск","СульфатІониМгДм3",48.980169,36.034678,"mean",600.133884297521
"42","канал Дніпро-Донбас, 170 км, с.Орілька, Орільське водосховище, шлюзовий попуск","ФосфатІониМгДм3",48.980169,36.034678,"mean",0.232082644628099
"43","канал Дніпро-Донбас, 170 км, с.Орілька, Орільське водосховище, шлюзовий попуск","ХлоридІониМгДм3",48.980169,36.034678,"mean",96.9284297520661
"44","канал Дніпро-Донбас, 181 км, р.Орілька, міст, 1,5 км від гирла,","АмонійІониМгДм3",49.034622,36.103749,"mean",0.410209677419355
"45","канал Дніпро-Донбас, 181 км, р.Орілька, міст, 1,5 км від гирла,","БСК5МгОДм3",49.034622,36.103749,"mean",1.62903225806452
"46","канал Дніпро-Донбас, 181 км, р.Орілька, міст, 1,5 км від гирла,","ЗависліРечовиниМгДм3",49.034622,36.103749,"mean",8.48709677419355
"47","канал Дніпро-Донбас, 181 км, р.Орілька, міст, 1,5 км від гирла,","КисеньРозчиненийМгО2Дм3",49.034622,36.103749,"mean",5.9541935483871
"48","канал Дніпро-Донбас, 181 км, р.Орілька, міст, 1,5 км від гирла,","НітратІониМгДм3",49.034622,36.103749,"mean",2.17758064516129
"49","канал Дніпро-Донбас, 181 км, р.Орілька, міст, 1,5 км від гирла,","НітритІониМгДм3",49.034622,36.103749,"mean",0.0541451612903226
"50","канал Дніпро-Донбас, 181 км, р.Орілька, міст, 1,5 км від гирла,","ПерманганатнаОкислюваністьМгОДм3",49.034622,36.103749,"mean",10.6072580645161
"51","канал Дніпро-Донбас, 181 км, р.Орілька, міст, 1,5 км від гирла,","СульфатІониМгДм3",49.034622,36.103749,"mean",1540.57661290323
"52","канал Дніпро-Донбас, 181 км, р.Орілька, міст, 1,5 км від гирла,","ФосфатІониМгДм3",49.034622,36.103749,"mean",0.992274193548387
"53","канал Дніпро-Донбас, 181 км, р.Орілька, міст, 1,5 км від гирла,","ХлоридІониМгДм3",49.034622,36.103749,"mean",197.670967741935
"54","канал Дніпро-Донбас, 214 км, м. Харків, Краснопавлівське водосховище, в/з міста","АмонійІониМгДм3",49.13893,36.463015,"mean",0.247078431372549
"55","канал Дніпро-Донбас, 214 км, м. Харків, Краснопавлівське водосховище, в/з міста","БСК5МгОДм3",49.13893,36.463015,"mean",2.22843137254902
"56","канал Дніпро-Донбас, 214 км, м. Харків, Краснопавлівське водосховище, в/з міста","ЗависліРечовиниМгДм3",49.13893,36.463015,"mean",5.18627450980392
"57","канал Дніпро-Донбас, 214 км, м. Харків, Краснопавлівське водосховище, в/з міста","КисеньРозчиненийМгО2Дм3",49.13893,36.463015,"mean",9.615
"58","канал Дніпро-Донбас, 214 км, м. Харків, Краснопавлівське водосховище, в/з міста","НітратІониМгДм3",49.13893,36.463015,"mean",1.26151960784314
"59","канал Дніпро-Донбас, 214 км, м. Харків, Краснопавлівське водосховище, в/з міста","НітритІониМгДм3",49.13893,36.463015,"mean",0.0740294117647059
"60","канал Дніпро-Донбас, 214 км, м. Харків, Краснопавлівське водосховище, в/з міста","ПерманганатнаОкислюваністьМгОДм3",49.13893,36.463015,"mean",6.96764705882353
"61","канал Дніпро-Донбас, 214 км, м. Харків, Краснопавлівське водосховище, в/з міста","СульфатІониМгДм3",49.13893,36.463015,"mean",359.533333333333
